"Driver"	"Rotor_1"	"Rotor_2"
0.008	0.349	0.738
0.008	0.39	0.817
0.008	0.435	0.884
0.008	0.481	0.938
0.009	0.528	0.976
0.016	0.575	0.996
0.033	0.624	0.999
0.068	0.676	0.984
0.095	0.722	0.951
0.126	0.77	0.902
0.157	0.817	0.839
0.19	0.859	0.763
0.225	0.901	0.678
0.259	0.934	0.587
0.296	0.957	0.492
0.332	0.974	0.398
0.372	0.981	0.307
0.409	0.981	0.223
0.445	0.973	0.15
0.483	0.958	0.089
0.521	0.938	0.042
0.559	0.913	0.013
0.594	0.886	0
0.631	0.854	0.006
0.666	0.818	0.03
0.7	0.774	0.07
0.733	0.724	0.126
0.764	0.669	0.195
0.794	0.619	0.276
0.823	0.573	0.364
0.85	0.521	0.458
0.874	0.47	0.553
0.898	0.419	0.646
0.918	0.362	0.733
0.936	0.305	0.813
0.949	0.247	0.881
0.962	0.189	0.935
0.973	0.136	0.974
0.982	0.086	0.995
0.988	0.042	0.999
0.994	0.009	0.985
0.996	0	0.953
1	0.011	0.905
0.999	0.037	0.843
0.999	0.083	0.768
0.999	0.147	0.683
0.998	0.22	0.592
0.999	0.293	0.498
1	0.371	0.403
0.999	0.468	0.312
0.999	0.564	0.228
0.999	0.656	0.154
0.999	0.739	0.092
0.995	0.811	0.045
0.987	0.873	0.014
0.967	0.923	0.001
0.939	0.963	0.005
0.915	0.985	0.028
0.891	0.993	0.067
0.863	0.982	0.122
0.836	0.955	0.191
0.806	0.909	0.271
0.777	0.855	0.359
0.746	0.793	0.452
0.712	0.725	0.547
0.677	0.655	0.64
0.641	0.572	0.728
0.605	0.485	0.808
0.571	0.402	0.877
0.537	0.331	0.932
0.502	0.267	0.972
0.468	0.21	0.995
0.433	0.161	1
0.397	0.122	0.986
0.363	0.091	0.956
0.329	0.065	0.909
0.295	0.048	0.847
0.263	0.033	0.773
0.233	0.024	0.689
0.204	0.02	0.598
0.178	0.018	0.503
0.152	0.018	0.409
0.129	0.017	0.318
0.106	0.016	0.233
0.084	0.018	0.158
0.067	0.025	0.095
0.051	0.034	0.047
0.038	0.047	0.015
0.027	0.061	0.001
0.018	0.078	0.004
0.012	0.097	0.026
0.009	0.123	0.064
0.008	0.152	0.119
0.008	0.186	0.187
0.008	0.223	0.266
0.009	0.258	0.353
0.009	0.295	0.446
0.009	0.332	0.541
0.008	0.371	0.635
0.009	0.414	0.723
0.009	0.455	0.804
0.011	0.499	0.873
0.023	0.544	0.929
0.047	0.592	0.97
0.081	0.64	0.994
0.109	0.689	1
0.139	0.737	0.988
0.17	0.783	0.958
0.206	0.824	0.912
0.239	0.858	0.851
0.276	0.89	0.777
0.312	0.919	0.694
0.35	0.945	0.603
0.388	0.961	0.509
0.425	0.971	0.414
0.461	0.979	0.323
0.499	0.98	0.238
0.538	0.974	0.162
0.576	0.965	0.099
0.611	0.953	0.049
0.646	0.936	0.017
0.682	0.914	0.001
0.715	0.892	0.004
0.747	0.867	0.024
0.778	0.838	0.062
0.807	0.801	0.115
0.835	0.761	0.182
0.861	0.721	0.261
0.883	0.682	0.348
0.904	0.637	0.441
0.924	0.592	0.536
0.939	0.549	0.629
0.954	0.5	0.718
0.966	0.452	0.799
0.976	0.402	0.87
0.983	0.353	0.926
0.991	0.298	0.968
0.993	0.247	0.993
0.997	0.197	1
0.998	0.149	0.989
0.998	0.105	0.96
0.998	0.067	0.915
0.998	0.033	0.855
0.998	0.011	0.782
0.997	0.01	0.699
0.997	0.026	0.609
0.998	0.058	0.515
0.998	0.104	0.42
0.998	0.163	0.328
0.996	0.228	0.243
0.99	0.296	0.166
0.979	0.375	0.102
0.956	0.467	0.052
0.929	0.555	0.018
0.905	0.642	0.002
0.879	0.721	0.003
0.854	0.79	0.022
0.826	0.851	0.059
0.798	0.908	0.111
0.767	0.955	0.178
0.734	0.986	0.256
0.699	0.999	0.343
0.664	0.99	0.435
0.628	0.958	0.53
0.594	0.91	0.624
0.559	0.852	0.713
0.526	0.785	0.795
0.49	0.713	0.866
0.454	0.641	0.924
0.417	0.558	0.966
0.382	0.472	0.992
0.347	0.392	1
0.312	0.321	0.99
0.278	0.259	0.962
0.248	0.207	0.918
0.218	0.161	0.859
0.19	0.125	0.787
0.164	0.096	0.704
0.14	0.073	0.614
0.116	0.058	0.52
0.094	0.045	0.426
0.075	0.034	0.333
0.058	0.027	0.247
0.044	0.021	0.17
0.032	0.017	0.105
0.021	0.015	0.054
0.014	0.014	0.02
0.009	0.018	0.002
0.008	0.025	0.002
0.007	0.036	0.021
0.007	0.05	0.056
0.007	0.068	0.108
0.008	0.089	0.174
0.007	0.117	0.251
0.007	0.153	0.337
0.007	0.194	0.43
0.008	0.237	0.524
0.007	0.281	0.618
0.014	0.326	0.708
0.03	0.371	0.79
0.065	0.418	0.862
0.092	0.466	0.92
0.123	0.52	0.964
0.154	0.571	0.991
0.186	0.621	1
0.222	0.675	0.991
0.257	0.726	0.965
0.293	0.776	0.921
0.331	0.819	0.863
0.368	0.859	0.791
0.406	0.896	0.709
0.442	0.924	0.62
0.48	0.946	0.526
0.518	0.963	0.431
0.557	0.973	0.339
0.594	0.98	0.252
0.628	0.979	0.175
0.663	0.978	0.109
0.699	0.97	0.057
0.729	0.958	0.021
0.762	0.945	0.003
0.793	0.927	0.002
0.822	0.907	0.019
0.847	0.885	0.054
0.873	0.861	0.104
0.894	0.83	0.169
0.915	0.792	0.246
0.932	0.753	0.332
0.945	0.713	0.424
0.958	0.671	0.519
0.971	0.624	0.613
0.979	0.58	0.703
0.986	0.535	0.786
0.991	0.489	0.858
0.995	0.446	0.917
0.996	0.399	0.962
0.995	0.349	0.99
0.995	0.299	1
0.996	0.249	0.992
0.995	0.2	0.967
0.996	0.156	0.924
0.995	0.115	0.867
0.995	0.078	0.796
0.995	0.044	0.714
0.995	0.021	0.625
0.995	0.006	0.532
0.993	0.011	0.437
0.986	0.031	0.344
0.969	0.063	0.257
0.944	0.108	0.179
0.917	0.164	0.112
0.893	0.225	0.06
0.866	0.292	0.023
0.839	0.379	0.003
0.813	0.461	0.001
0.783	0.541	0.018
0.751	0.618	0.051
0.719	0.693	0.101
0.684	0.762	0.165
0.649	0.824	0.241
0.612	0.887	0.327
0.578	0.937	0.418
0.545	0.976	0.513
0.513	1	0.607
0.477	0.998	0.698
0.441	0.975	0.781
0.404	0.934	0.854
0.37	0.881	0.914
0.333	0.818	0.96
0.298	0.748	0.989
0.264	0.677	1
0.234	0.604	0.993
0.203	0.52	0.969
0.176	0.435	0.927
0.151	0.363	0.871
0.126	0.3	0.8
0.103	0.246	0.72
0.081	0.197	0.631
0.063	0.155	0.537
0.047	0.121	0.442
0.033	0.095	0.35
0.024	0.073	0.262
0.015	0.053	0.183
0.009	0.039	0.116
0.007	0.027	0.062
0.006	0.019	0.025
0.006	0.015	0.004
0.006	0.014	0.001
0.006	0.015	0.016
0.006	0.021	0.049
0.006	0.031	0.098
0.006	0.047	0.161
0.005	0.069	0.236
0.005	0.093	0.321
0.008	0.125	0.413
0.021	0.174	0.508
0.046	0.229	0.602
0.079	0.284	0.692
0.107	0.339	0.776
0.137	0.394	0.85
0.168	0.453	0.911
0.204	0.51	0.957
0.238	0.567	0.987
0.276	0.622	1
0.312	0.681	0.994
0.351	0.733	0.971
0.388	0.781	0.93
0.424	0.825	0.874
0.46	0.862	0.805
0.499	0.899	0.725
0.538	0.925	0.636
0.576	0.943	0.543
0.612	0.957	0.448
0.646	0.968	0.355
0.681	0.973	0.267
0.716	0.973	0.188
0.748	0.968	0.12
0.779	0.962	0.065
0.807	0.952	0.026
0.834	0.942	0.005
0.861	0.926	0.001
0.883	0.908	0.015
0.904	0.887	0.046
0.922	0.862	0.094
0.938	0.828	0.157
0.952	0.789	0.232
0.965	0.751	0.316
0.976	0.709	0.407
0.983	0.667	0.502
0.991	0.622	0.596
0.993	0.579	0.687
0.994	0.537	0.771
0.994	0.493	0.846
